,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum_Temperature,Wind_Speed
293,Raymondville,95,US,1630560157,74,26.4815,-97.7831,85.37,11.83
294,Clyde River,25,CA,1630560157,74,70.4692,-68.5914,39.83,3.49
295,Gemeente Uden,90,NL,1630560158,88,51.6568,5.6126,57.52,2.3
296,Kalmunai,100,LK,1630560158,65,7.4167,81.8167,84.54,5.12
297,Bathsheba,20,BB,1630560159,83,13.2167,-59.5167,79.41,8.05
298,Mackenzie,1,CA,1630560159,93,55.2999,-123.1698,46.62,0
299,Itacaré,65,BR,1630560160,90,-14.2775,-38.9967,69.71,4.63
300,Balagansk,100,RU,1630560160,89,54.0103,103.0544,51.55,9.89
301,Morondava,1,MG,1630560160,65,-20.2833,44.2833,74.01,4.88
302,Altay,99,CN,1630560161,37,47.8667,88.1167,67.51,6.69
303,Ocala,1,US,1630560161,92,29.1872,-82.1401,77.74,0
304,Port Hedland,52,AU,1630560162,19,-20.3167,118.5667,91.45,5.75
305,Carnarvon,2,AU,1630560162,48,-24.8667,113.6333,71.67,18.41
306,Port Macquarie,3,AU,1630560163,57,-31.4333,152.9167,69.76,13.51
307,Nadadores,31,MX,1630560163,46,27.05,-101.6,86.88,4.43
308,Kualakapuas,85,ID,1630560164,75,-3.0091,114.3876,80.76,4.61
309,Ketchikan,90,US,1630560164,100,55.3422,-131.6461,54.07,3.44
310,Makakilo City,1,US,1630560165,69,21.3469,-158.0858,79.12,4.61
311,Airai,17,TL,1630560165,43,-8.9266,125.4092,78.08,4.97
312,Ulladulla,0,AU,1630560166,65,-35.35,150.4667,74.77,17.83
313,Pangody,100,RU,1630560166,67,65.85,74.4859,47.1,12.46
314,Gladstone,12,AU,1630560167,53,-23.85,151.25,73.33,23.02
315,Río Gallegos,0,AR,1630560144,93,-51.6226,-69.2181,30.25,6.91
316,Kununurra,35,AU,1630560167,28,-15.7667,128.7333,96.78,8.05
317,Inhambane,4,MZ,1630560168,74,-23.865,35.3833,68.56,8.32
318,Monte Alegre de Sergipe,2,BR,1630560168,95,-10.0272,-37.5622,63.68,4.97
319,Ayan,6,RU,1630560169,61,56.45,138.1667,60.84,2.42
320,Bonfim,25,BR,1630560169,82,3.0833,-59.95,74.86,3.42
321,Rāver,39,IN,1630560170,73,21.25,76.0333,83.1,10.51
322,Guerrero Negro,54,MX,1630560170,77,27.9769,-114.0611,68.88,13.8
323,Flinders,61,AU,1630560171,71,-34.5833,150.8552,72.18,8.01
324,Vostok,17,RU,1630560171,45,46.4856,135.8833,71.53,7
325,Pringsewu,92,ID,1630560172,54,-5.3582,104.9744,88.25,1.57
326,Qaqortoq,100,GL,1630560172,97,60.7167,-46.0333,46.9,2.19
327,Cauquenes,0,CL,1630560173,82,-35.9671,-72.3225,47.57,1.92
328,Zyryanka,90,RU,1630560174,43,65.75,150.85,57.58,12.1
329,Itoman,40,JP,1630560174,74,26.1247,127.6694,87.82,9.22
330,Abbeville,3,FR,1630560175,96,50.1,1.8333,58.96,6.73
331,Buta,100,CD,1630560175,98,2.7858,24.73,67.91,1.16
332,Pangkalanbuun,100,ID,1630560176,60,-2.6833,111.6167,86.59,5.3
333,Verkhnevilyuysk,97,RU,1630560176,47,63.4453,120.3167,62.24,0.69
334,Barbate,0,ES,1630560177,87,36.1924,-5.9219,71.53,2.66
335,Honiara,48,SB,1630560177,74,-9.4333,159.95,84.06,9.55
336,Oranjemund,0,NA,1630560178,75,-28.55,16.4333,53.08,7.23
337,Hervey Bay,2,AU,1630560178,61,-25.2986,152.8535,76.03,17.38
338,Whitehorse,75,CA,1630560179,51,60.7161,-135.0538,57.97,13.8
339,Okhotsk,52,RU,1630560179,75,59.3833,143.3,61.68,7.54
340,Seabra,92,BR,1630560179,94,-12.4186,-41.7703,61.92,6.29
341,Saint-François,0,FR,1630560180,94,46.4154,3.9054,53.19,5.75
342,Hanmer Springs,94,NZ,1630560180,87,-42.5167,172.8167,46.26,0.83
343,Namatanai,55,PG,1630560181,70,-3.6667,152.4333,84.47,11.97
344,Talca,0,CL,1630560181,86,-35.4333,-71.6667,49.71,2.89
345,Mstera,99,RU,1630560182,90,56.3789,41.92,52.02,5.91
346,Nakasongola,100,UG,1630560182,91,1.3089,32.4564,66.34,0.63
347,St. George's,55,GD,1630560183,80,12.0564,-61.7485,80.96,11.52
348,Jimaní,48,DO,1630560183,89,18.4917,-71.8502,80.49,2.3
349,Grafton,90,US,1630560184,89,42.207,-71.6856,59.95,1.99
350,Vangaindrano,49,MG,1630560184,88,-23.35,47.6,69.67,4.72
351,Khudumelapye,0,BW,1630560185,76,-23.8833,24.75,55.81,13.56
352,Gulu,100,UG,1630560185,95,2.7746,32.299,64.58,3
353,Pevek,100,RU,1630560186,82,69.7008,170.3133,36.12,3.67
354,Auki,46,SB,1630560186,66,-8.7676,160.7034,84.7,7.85
355,Reconquista,100,AR,1630560187,35,-29.15,-59.65,76.46,10.83
356,Xai-Xai,50,MZ,1630560187,83,-25.0519,33.6442,64.8,6.17
357,Cockburn Town,61,TC,1630560188,78,21.4612,-71.1419,81.52,8.48
358,Saskylakh,98,RU,1630560188,81,71.9167,114.0833,40.84,11.99
359,Nikolayevsk-on-Amur,99,RU,1630560189,68,53.1406,140.73,62.56,5.97
360,San Quintín,6,MX,1630560189,81,30.4833,-115.95,68.16,8.59
361,Ordu,100,TR,1630560190,93,40.9086,37.6845,57.7,3.71
362,Ovalle,0,CL,1630560190,78,-30.5983,-71.2003,54.46,0.74
363,Colesberg,8,ZA,1630560191,22,-30.72,25.0972,50.16,5.99
364,Waipawa,61,NZ,1630560191,75,-41.4122,175.5153,51.46,4.09
365,Sept-Îles,90,CA,1630560192,96,50.2001,-66.3821,57.06,4
366,Puerto Escondido,100,MX,1630560192,86,15.85,-97.0667,79.11,4
367,Farah,0,AF,1630560193,10,32.5,62.5,83.66,3.15
368,Kota,72,IN,1630560193,67,25.1833,75.8333,85.98,10.76
369,Chardara,0,KZ,1630560194,21,41.2547,67.9692,82.56,9.33
370,Bairiki Village,37,KI,1630560194,74,1.3292,172.9752,81.82,10.54
371,Aras,90,ES,1630560195,94,42.5617,-2.356,60.71,8.05
372,Kousséri,0,CM,1630560195,83,12.0769,15.0306,80.56,6.91
373,Pizarro,87,CO,1630560196,84,4.9533,-77.366,77.59,4.05
374,Mga,13,RU,1630560196,92,59.75,31.0667,48.13,7.34
375,Halifax,92,CA,1630560197,82,44.6453,-63.5724,62.65,1.14
376,Sibolga,89,ID,1630560197,63,1.7427,98.7792,83.93,2.75
377,Lábrea,18,BR,1630560198,91,-7.2586,-64.7981,71.6,2.35
378,Thompson,90,CA,1630559901,77,55.7435,-97.8558,60.96,4.61
379,Senanga,0,ZM,1630560199,38,-16.1167,23.2667,60.4,5.66
380,Dobson,1,US,1630560006,83,36.3957,-80.7226,68.38,3.44
381,Kon Tum,89,VN,1630560199,71,14.35,108,83.97,3.24
382,Aquin,48,HT,1630560200,83,18.2833,-73.4,77.23,2.95
383,Solnechnyy,51,RU,1630560200,55,50.7214,136.6319,67.1,6.91
384,Napierville,100,CA,1630560201,66,45.1865,-73.4047,63.21,1.01
385,Pryyutivka,100,UA,1630560201,84,48.7209,33.0708,59.77,16.75
386,Chitral,0,PK,1630560081,43,35.8462,71.7858,76.46,4.45
387,Gazli,0,UZ,1630560202,15,40.1333,63.45,85.41,17.96
388,Ozinki,99,RU,1630560202,46,51.1786,49.6769,73.63,8.66
389,Christchurch,50,NZ,1630560043,62,-43.5333,172.6333,54.91,4.61
390,Yaan,100,NG,1630560203,97,7.3833,8.5667,71.15,2.82
391,Esperance,92,AU,1630560203,82,-33.8667,121.9,49.84,24.76
392,Kirillov,50,RU,1630560204,92,59.863,38.3813,48.13,6.46
393,Anshun,39,CN,1630560204,65,26.25,105.9333,77.38,8.97
394,Caucayá,81,CO,1630560205,99,-0.1934,-74.7819,70.54,1.57
395,Villa del Rosario,90,CO,1630560205,93,7.8339,-72.4742,71.65,4.47
396,Sayyan,44,YE,1630560206,38,15.1718,44.3244,67.46,8.9
397,Santa Isabel Rio Negro,90,BR,1630560206,99,-0.4139,-65.0192,71.56,1.48
398,Bocas del Toro,63,PA,1630560207,80,9.3333,-82.25,79.07,1.48
399,Lerwick,100,GB,1630560207,81,60.1545,-1.1494,53.6,11.18
400,Dingcheng,100,CN,1630560207,72,32.1272,115.0394,79.57,4.03
401,Presidencia Roque Sáenz Peña,92,AR,1630560208,35,-26.7852,-60.4388,79.09,10.71
402,Bontang,97,ID,1630560208,65,0.1333,117.5,84.99,6.58
403,Vanavara,48,RU,1630560209,45,60.34,102.2797,56.34,11.23
404,Bodden Town,26,KY,1630559980,92,19.2833,-81.25,82.92,7.9
405,Sindor,100,RU,1630560210,98,62.8629,51.8905,51.73,7.76
406,Dābhol,100,IN,1630560210,80,17.6,73.1667,80.71,9.13
407,Mahārāganj,62,IN,1630560211,62,27.1333,83.5667,90.27,1.74
408,Coquimbo,90,CL,1630560016,87,-29.9533,-71.3436,55.13,3.44
409,Chodavaram,100,IN,1630560212,64,17.8333,82.95,89.44,1.36
410,Abu Dhabi,0,AE,1630560132,46,24.4667,54.3667,91.51,12.66
411,Soyo,99,AO,1630560008,84,-6.1349,12.3689,73.33,5.53
412,Letlhakane,0,BW,1630560213,70,-21.4167,25.5833,59.86,12.15
413,Altamirano,100,MX,1630560213,98,16.8833,-92.15,56.68,2.91
414,Khovd,99,MN,1630560213,48,48.0056,91.6419,63.72,8.12
415,Yerbogachën,100,RU,1630560214,53,61.2767,108.0108,58.03,12.21
416,Maltahöhe,0,NA,1630560079,18,-24.8333,16.9833,55.38,10.69
417,Aklavik,100,CA,1630560215,85,68.2191,-135.0107,54.43,5.03
418,Hofn,44,IS,1630560215,69,64.2539,-15.2082,54.27,3.29
419,Isangel,75,VU,1630560216,53,-19.55,169.2667,77.11,11.5
420,Cherskiy,100,RU,1630560216,64,68.75,161.3,41.41,1.16
421,Praia da Vitória,75,PT,1630560217,94,38.7333,-27.0667,70.05,11.81
422,Eilat,1,IL,1630560217,53,29.5581,34.9482,82.38,12.35
423,Canguçu,100,BR,1630560218,84,-31.395,-52.6756,57.45,1.68
424,Palana,71,RU,1630560218,84,59.1167,159.9667,51.73,5.5
425,Turaif,0,SA,1630560219,32,31.6725,38.6637,84.45,6.91
426,Nortelândia,46,BR,1630560219,45,-14.4547,-56.8028,77.11,4.07
427,Agadez,0,NE,1630560220,19,19.75,10.25,82.4,8.88
428,Progreso,75,MX,1630560220,69,21.2833,-89.6667,80.71,13.58
429,Malatya Province,0,TR,1630560220,40,38.5,38,69.85,4.61
430,Kinston,90,US,1630560221,83,35.2627,-77.5816,78.94,3.44
431,Shubarshi,92,KZ,1630560221,20,48.5872,57.1869,78.08,13.02
432,Benguela,21,AO,1630560222,90,-12.5763,13.4055,69.06,2.08
433,Tshikapa,71,CD,1630560222,42,-6.4167,20.8,73.49,1.39
434,Mana,70,GF,1630560223,89,5.6592,-53.7767,76.71,3.42
435,Ostrovnoy,99,RU,1630560223,87,68.0531,39.5131,44.71,9.93
436,Cairns,75,AU,1630560011,56,-16.9167,145.7667,83.1,21.85
437,Cangas do Morrazo,20,ES,1630560224,88,42.2641,-8.7846,65.55,2.3
438,Plettenberg Bay,100,ZA,1630560224,77,-34.0527,23.3716,53.06,4.68
439,Davidson,1,US,1630560225,78,36.1501,-86.7833,71.89,8.05
440,Port Blair,100,IN,1630560225,78,11.6667,92.75,81.55,19.6
441,São Borja,100,BR,1630560226,52,-28.6606,-56.0044,67.35,8.86
442,Vágur,100,FO,1630560226,80,61.4732,-6.8119,53.65,12.12
443,Mahanoro,50,MG,1630560227,80,-19.9,48.8,69.58,2.86
444,Teya,78,RU,1630560227,66,60.3778,92.6267,47.86,7.36
445,Bengkulu,98,ID,1630560227,79,-3.8004,102.2655,77.95,4.43
446,Punta Alta,100,AR,1630560172,80,-38.8759,-62.0736,50.61,15.1
447,Payo,100,ID,1630560228,95,-3.7508,103.6372,75.51,0.47
448,Abaetetuba,22,BR,1630560229,95,-1.7181,-48.8825,75.24,4.76
449,Camaná,61,PE,1630560229,82,-16.6228,-72.7111,60.33,6.71
450,Wagar,25,SD,1630560229,65,16.1525,36.2032,83.61,14.38
451,Nishihara,90,JP,1630560230,88,26.1842,127.7558,87.08,9.22
452,Smithers,1,CA,1630560230,87,54.7804,-127.1743,52.12,2.3
453,Edson,90,CA,1630560231,100,53.5835,-116.4356,44.74,11.5
454,Sorong,54,ID,1630560232,76,-0.8833,131.25,82.74,6.04
455,Touros,70,BR,1630560232,81,-5.1989,-35.4608,72.5,13.87
456,Tongliao,90,CN,1630560232,49,43.6125,122.2653,81.9,9.33
457,Yeppoon,20,AU,1630560233,66,-23.1333,150.7333,74.98,20.15
458,Bilibino,100,RU,1630560233,94,68.0546,166.4372,38.43,1.66
459,Grand Island,1,US,1630560234,77,40.925,-98.342,70.75,13.8
460,Nānākuli,1,US,1630560234,73,21.3906,-158.1547,80.55,4.61
461,Saint George,1,US,1630559966,64,37.1041,-113.5841,78.64,1.99
462,Aykhal,100,RU,1630560235,81,66,111.5,45.75,14.63
463,Rome,1,US,1630560097,77,43.2128,-75.4557,59.67,6.91
464,Alofi,96,NU,1630560236,83,-19.0595,-169.9187,75.09,2.3
465,Morehead,1,US,1630560236,89,37.2711,-87.1764,69.51,0
466,Rawson,85,AR,1630560237,76,-43.3002,-65.1023,48.31,7.67
467,Xiaoshi,0,CN,1630560237,39,41.2971,124.1209,82.42,1.25
468,Huarmey,78,PE,1630560237,87,-10.0681,-78.1522,61.75,7.87
469,Baracoa,65,CU,1630560238,83,20.3467,-74.4958,77.65,2.44
470,High Level,1,CA,1630560238,76,58.5169,-117.136,53.71,9.22
471,Ushtobe,3,KZ,1630560239,25,45.2514,77.9838,82.31,4.79
472,Bara,100,NG,1630560132,94,10.3744,10.7288,72.63,13.2
473,Fort-Shevchenko,44,KZ,1630560240,33,44.5086,50.263,79.95,21.47
474,Saint-Augustin,98,CA,1630560240,87,51.226,-58.6502,50.79,11.88
475,Kostanay,0,KZ,1630560241,45,53.1667,63.5833,66.49,11.18
476,La Ronge,90,CA,1630560242,94,55.1001,-105.2842,55.65,3.44
477,Lunel,0,FR,1630560242,88,43.6778,4.1361,64.53,6.91
478,Esmeraldas,10,BR,1630560243,88,-19.7625,-44.3139,64.71,8.68
479,Haapsalu,6,EE,1630560243,60,58.9431,23.5414,55.35,15.88
480,Mil'kovo,80,RU,1630560244,57,54.7167,158.6167,65.75,1.7
481,Ulcinj,0,ME,1630560244,60,41.9294,19.2244,69.71,11.32
482,Roald,75,NO,1630560244,94,62.5833,6.1333,55,14.97
483,Karratha,55,AU,1630560218,26,-20.7377,116.8463,86.02,6.35
484,Padang,88,ID,1630560245,68,-0.9492,100.3543,82.45,4.61
485,Iwanai,7,JP,1630560246,58,42.9744,140.5089,73.87,6.06
486,Baykit,99,RU,1630560246,85,61.67,96.37,45.64,9.48
487,Mahon,75,ES,1630560247,83,39.8885,4.2658,77.56,16.11
488,Jaen,0,ES,1630560247,71,38,-3.5,62.92,1.32
489,Abnūb,1,EG,1630560247,48,27.2696,31.1511,80.26,16.46
490,Kulachi,1,PK,1630560248,35,31.9286,70.4592,94.41,1.39
491,Sindou,85,BF,1630560248,94,10.6667,-5.1667,71.17,4.72
492,Sinegor'ye,95,RU,1630560249,60,62.0788,150.477,53.73,0.85
493,The Valley,100,AI,1630560249,76,18.217,-63.0578,82.26,10.89
494,Sakakah,0,SA,1630560250,12,29.9697,40.2064,94.57,8.34
495,Musoma,100,TZ,1630560250,71,-1.5,33.8,70.38,5.48
496,Camargo,89,MX,1630560251,69,27.6667,-105.1667,74.03,8.93
497,Havre-St-Pierre,90,CA,1630560251,94,50.2334,-63.5986,55.76,9.22
498,Tabalosos,85,PE,1630560252,94,-6.35,-76.6833,63.16,3.71
499,Madimba,66,TZ,1630560252,80,-10.4,40.3333,75.69,7.23
500,Paján,100,EC,1630560252,87,-1.5667,-80.4167,70.12,3.38
501,Portland,1,US,1630559424,52,45.5234,-122.6762,68.09,3
502,Ziro,97,IN,1630560253,91,27.6333,93.8333,61.54,0.51
503,San Jerónimo,100,PE,1630560254,64,-11.9472,-75.2829,52.5,2.91
504,Sobolevo,69,RU,1630560254,86,54.4299,31.8996,48.7,9.82
505,Usinsk,100,RU,1630560254,95,65.9939,57.5281,43.93,13.44
506,‘Ewa Beach,75,US,1630560255,68,21.3156,-158.0072,80.55,12.66
507,Athabasca,100,CA,1630560255,94,54.7169,-113.2854,54.01,15.39
508,Camacha,20,PT,1630560256,83,33.0833,-16.3333,69.22,6.91
509,Banjar,88,ID,1630560256,49,-8.19,114.9675,82.26,2.75
510,Chara,40,RU,1630560257,41,56.9064,118.2631,73.2,6.82
511,Kapit,99,MY,1630560257,70,2.0167,112.9333,84.24,2.26
512,Peniche,6,PT,1630560258,94,39.3558,-9.3811,65.68,4.85
513,La Asuncion,46,VE,1630560258,87,11.0333,-63.8628,79.74,11.14
514,Samarai,71,PG,1630560192,84,-10.6167,150.6667,78.64,22.26
515,Gurupá,46,BR,1630560259,97,-1.405,-51.64,71.08,2.04
516,Atar,2,MR,1630560174,24,20.5169,-13.0499,88.61,2.51
517,Togur,98,RU,1630560260,68,58.3631,82.8265,53.85,3.76
518,Castelo Branco,57,PT,1630560260,86,39.8222,-7.4909,59.79,0.87
519,Aasiaat,0,GL,1630560261,88,68.7098,-52.8699,29.68,2.66
520,Naifaru,93,MV,1630560261,74,5.4444,73.3657,82.33,11.95
521,Praia,20,CV,1630560262,89,14.9215,-23.5087,79.34,3.44
522,Sakaraha,18,MG,1630560262,66,-22.9,44.5333,71.44,1.16
523,Baghdad,0,IQ,1630560139,26,33.3406,44.4009,93.11,5.75
524,Victor Harbor,43,AU,1630560263,35,-35.5667,138.6167,87.19,24.07
525,Marin,20,US,1630560263,84,38.0666,-122.7344,58.6,1.01
526,Lavaca,1,US,1630560264,88,28.615,-96.6261,84.97,3.44
527,La Palma,40,US,1630560264,84,33.8464,-118.0467,71.92,4
528,Fort Saint James,33,CA,1630560265,65,54.4333,-124.25,49.87,2.21
529,Beasain,68,ES,1630560265,93,43.0502,-2.2009,65.48,5.08
530,Port Hardy,1,CA,1630560266,93,50.6996,-127.4199,51.8,5.75
531,São Gabriel da Cachoeira,98,BR,1630560266,99,-0.1303,-67.0892,70.81,0.6
532,Honningsvåg,100,NO,1630560266,76,70.9821,25.9704,44.24,22.7
533,Grenville,55,GD,1630560267,77,12.1167,-61.6167,82.65,14.7
534,Cañon City,1,US,1630560267,92,38.441,-105.2424,71.28,6.91
535,Saint Anthony,1,US,1630560268,77,45.0205,-93.218,66.83,1.99
536,Olafsvik,87,IS,1630560268,88,64.8945,-23.7142,53.17,14.05
537,Roebourne,64,AU,1630560269,24,-20.7833,117.1333,85.86,3.4
538,Arrondissement de Saumur,3,FR,1630560269,89,47.3333,-0.25,55.89,10.74
539,Departamento de Maldonado,100,UY,1630560270,98,-34.6667,-54.9167,58.39,5.32
540,Timizart,77,DZ,1630560270,70,36.8,4.2667,73.99,6.58
541,Narsaq,100,GL,1630560271,92,60.9167,-46.05,46.62,2.89
542,Sibiti,66,CG,1630560271,84,-3.6819,13.3499,69.3,5.01
543,Manyana,0,BW,1630560272,16,-23.4,21.7167,57.58,7.11
544,Dargaville,58,NZ,1630560272,72,-35.9333,173.8833,55.54,7.54
545,Yenagoa,96,NG,1630560273,92,4.9247,6.2642,73.36,2.21
546,Port Lincoln,98,AU,1630560273,61,-34.7333,135.8667,66.25,24.7
547,Wajima,75,JP,1630560273,65,37.4,136.9,79.48,10.36
548,El Tigre,7,VE,1630560274,85,8.8875,-64.2454,74.66,8.12
549,Santa Maria,93,BR,1630560274,66,-29.6842,-53.8069,64.22,4.27
550,Paamiut,100,GL,1630560275,96,61.994,-49.6678,46.26,4.65
551,Nemuro,24,JP,1630560275,83,43.3236,145.575,63.03,8.5
552,Sangmélima,100,CM,1630560276,98,2.9333,11.9833,67.3,3.11
553,Noshiro,0,JP,1630560276,60,40.2039,140.0242,79.74,11.48
554,Peravurani,100,IN,1630560277,54,10.3,79.1833,88.48,8.01
555,Hobyo,54,SO,1630560277,78,5.3505,48.5268,80.13,19.37
556,Mayuge,97,UG,1630560277,88,0.4597,33.4803,65.55,2.53
557,Nelson Bay,0,AU,1630560278,66,-32.7167,152.15,75.29,3
558,Muravlenko,100,RU,1630560278,58,63.7898,74.523,52.27,16.49
559,Manta,90,EC,1630560279,83,-0.95,-80.7333,73.18,13.8
560,Deputatsky,100,RU,1630560279,75,69.3,139.9,44.37,2.39
561,Kebumen,100,ID,1630560280,61,-7.6687,109.6519,81.46,12.17
562,Lhokseumawe,100,ID,1630560280,73,5.1801,97.1507,81.66,2.08
563,Bahía Blanca,100,AR,1630560281,76,-38.7196,-62.2724,51.1,13.49
564,Nador,0,MA,1630560281,83,35.174,-2.9287,68.25,3.44
565,Laas,1,IT,1630560282,87,46.6166,10.7002,56.28,2.19
566,Enugu,100,NG,1630560282,99,6.4402,7.4943,70.39,2.33
567,San-Pédro,90,CI,1630560283,95,4.7485,-6.6363,72.79,5.91
568,Antofagasta,45,CL,1630560283,82,-23.65,-70.4,58.28,2.98
569,Nouakchott,79,MR,1630560284,81,18.0858,-15.9785,80.53,13.91
570,Cap Malheureux,11,MU,1630560284,66,-19.9842,57.6142,75.69,11.99
571,Fonte Boa,81,BR,1630560285,97,-2.4959,-66.2662,69.3,2.06
572,Superior,75,US,1630560285,92,46.7208,-92.1041,61.77,4.61
573,Daru,55,PG,1630560285,83,-9.0763,143.2092,80.65,17.96
574,Santa Vitória do Palmar,100,BR,1630560286,93,-33.5189,-53.3681,58.91,11.83
575,Eidsvåg,92,NO,1630560286,93,62.7767,8.0668,54.25,5.82
576,Kol'chugino,97,RU,1630560287,88,56.3,39.3833,51.24,6.29
577,Nuevo Progreso,68,MX,1630560287,80,23.1667,-97.95,82.6,3.67
578,Pemangkat,90,ID,1630560288,89,1.1667,108.9667,77,7.38
579,Haradok,24,BY,1630560288,85,55.4624,29.9816,46.51,10.2
580,Havøysund,100,NO,1630560289,77,70.9963,24.6622,43.68,18.07
581,Nicoya,100,CR,1630560289,94,10.1483,-85.452,71.15,0.36
582,San Miguel de Tucumán,75,AR,1630560290,57,-26.8241,-65.2226,75.2,5.75
583,Shaoyang,63,CN,1630560290,53,27.2315,111.4525,92.68,2.26
